$ bun ./📜️script.ts nx run @semio-tech/framework-renderer-react:test -- "--reporter=verbose"

> nx run @semio-tech/framework-renderer-react:test --reporter=verbose

> bun ./📜️script.ts test --reporter=verbose


 RUN  v4.1.10 /Users/ueli/Documents/semio/🧰️framework/🛍️products/💻️os/🔨️modules/📺️renderer/🧑️‍🎨️engine/📦️packages/🟦️typescript/🎯️targets/⚛️react

stderr | 🧪️index.test.ts
THREE.WARNING: Multiple instances of Three.js being imported.

 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework sync utilities > builds three sync backbone toggles 3ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > lineRangeAt finds the line containing an offset 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > renders table host with ui-react table 3ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > stamps a row's own id onto the rendered row's data-row-id attribute 25ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > dispatches a row action button's own ActionDescriptor, unmodified, on click 26ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > renders vcs history host with an ancestor graph fork 4ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > renders paint-2d host canvas surface from document sync scene 2ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > renders paint-2d navigator host with the composite viewport overlay channel 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > renders paint-2d host empty fallback without a scene 0ms
 × |@semio-tech/framework-renderer-react| 🧪️index.test.ts > framework renderer hosts > interprets virtual file system component scenes 3ms
   → Element type is invalid: expected a string (for built-in components) or a class/function (for composite components) but got: object.
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > dag marquee overlay > computes a rect overlay with numeric bounds for the rectangle method 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > dag marquee overlay > computes a rect overlay from the rust tuple-array wire format 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > dag marquee overlay > computes a lasso overlay carrying the raw points for the lasso method 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > dag marquee overlay > computes a lasso overlay from the rust tuple-array wire format 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > dag marquee overlay > infers lasso from a non-rectangular path when method is omitted 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > dag marquee overlay > infers rectangle from four axis-aligned corner points when method is omitted 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > dag marquee overlay > returns null for fewer than two points 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > dag marquee overlay > returns null for malformed point entries 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > dag marquee overlay > renders a rect overlay from a computeDagMarqueeOverlay rect result without crashing 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > dag marquee overlay > renders a polygon overlay from a computeDagMarqueeOverlay lasso result without crashing 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > ink canvas host > renders the semio example composite scene with rich text, table, and math fallback 7ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > ink canvas host > shows the grid pattern in composite mode but not in navigator mode 5ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > ink canvas host > resizes with a minimum size and scales ink points when a group is resized 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > ink canvas host > splits an ink stroke into fragments when erasing its middle point 2ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > ink canvas host > round-trips bold and link marks between paragraphs and html 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > ink canvas host > round-trips a clipboard payload of note blocks 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > ink canvas host > computes ink block bounds from its local points 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > ink canvas host > applies the canonical wheel-zoom camera formula symmetrically for screen<->world conversion 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > spawned window chrome > builds spawned engagement and measures chrome from program contributions 47ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > partitionWindowMeasures > unwraps a tagged group's children into utilityOptions only when its utility is active 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > partitionWindowMeasures > drops a tagged group from both buckets when a different or no utility is active 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > partitionWindowMeasures > keeps untagged groups and non-group measures in general, unaffected by the active utility 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > partitionWindowMeasures > wires a utility-scoped group into spawnedWindowChromeForKind's utilityOptions slot only when its utility is active 6ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > partitionWindowMeasures > parses the real ui_wgpu camelCase wire JSON and unwraps a utility-scoped fill group into flat utilityOptions (snake_case divergence regression guard) 10ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > utility ribbon > sorts utility nodes by order 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > utility ribbon > recurses into a collection level only when the path names one of its collections 2ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > utility ribbon > ignores a path entry that no longer names an enabled collection at that level 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > utility ribbon > emits a picker segment alongside loose leaves at the same depth 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > utility ribbon > reconciles an active path by truncating at the first stale entry instead of substituting a default 2ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > utility ribbon > buckets top-level utility nodes into ordered category collections (uncategorized nodes default to tools now that the Actions category is gone) 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > utility ribbon > drops separator-only category buckets so an empty group never appears as a picker option 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > utility ribbon > reuses a category's single already-meaningful collection instead of re-wrapping it, avoiding a duplicate-looking picker level 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > utility ribbon > still wraps a category with multiple top-level nodes in a synthetic collection 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > utility ribbon > scopes grouping to the given categories only 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > utility ribbon > deduplicates utility nodes by id across window utility lists for a single shared footer entry 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > utility ribbon > renders utility ribbon with picker and batched toggles 6ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > utility ribbon > stacks the window utility bar ribbon upward, showing only the base picker row until a group is activated 5ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > utility ribbon > renders UtilityTree with a custom id for per-window namespacing 5ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > utility ribbon > renders utilityOptions as an extra ribbon row when direction is up 4ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > selects the flow engine for scenes with engine flow capabilities 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > renders presence peers from the scene payload 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > parses a catalogue app drag payload, ignoring extra keys 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > rejects catalogue app drag payloads missing pluginId/appId, and garbage 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > builds a ghost neuron descriptor, preferring label over appId 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > builds addWidget descriptors from catalogue items 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > ranks catalogue suggestions by exact/prefix match with neurons first 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > returns every catalogue item for empty query without a 20-item cap 2ms
stderr | 🧪️index.test.ts > s workflow flow routing > isolates render faults in ShellFaultBoundary
Error: boom
    at FaultyChild (/Users/ueli/Documents/semio/🧰️framework/🛍️products/💻️os/🔨️modules/📺️renderer/🧑️‍🎨️engine/📦️packages/🟦️typescript/🎯️targets/⚛️react/ð§ªï¸index.test.ts:4223:7)
    at react_stack_bottom_frame (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:25904:19)
    at renderWithHooks (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:7662:21)
    at updateFunctionComponent (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:10166:18)
    at runWithFiberInDEV (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:874:12)
    at performUnitOfWork (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:17641:21)
    at workLoopSync (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:17469:40)
    at renderRootSync (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:17450:10)
    at performWorkOnRoot (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:16583:34)
    at performWorkOnRootViaSchedulerTask (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:18957:6)
    at flushActQueue (/Users/ueli/Documents/semio/node_modules/react/cjs/react.development.js:590:33)
    at /Users/ueli/Documents/semio/node_modules/react/cjs/react.development.js:884:9
    at /Users/ueli/Documents/semio/node_modules/@testing-library/react/dist/act-compat.js:46:24
    at renderRoot (/Users/ueli/Documents/semio/node_modules/@testing-library/react/dist/pure.js:189:17)
    at /Users/ueli/Documents/semio/🧰️framework/🛍️products/💻️os/🔨️modules/📺️renderer/🧑️‍🎨️engine/📦️packages/🟦️typescript/🎯️targets/⚛️react/ð§ªï¸index.test.ts:4225:27
    at /Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:1903:25
    at /Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2326:19
    at Promise (native)
    at runWithCancel (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2323:9)
    at /Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2305:19
    at Promise (native)
    at runWithTimeout (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2272:9)
    at run (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:1150:19)
    at /Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2955:12
    at callAroundHooks (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2663:8)
    at callAroundEachHooks (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2799:7)
    at processTicksAndRejections (native) {
  [message]: 'boom',
  [stack]: 'Error: boom\n' +
    '    at FaultyChild (/Users/ueli/Documents/semio/🧰️framework/🛍️products/💻️os/🔨️modules/📺️renderer/🧑️‍🎨️engine/📦️packages/🟦️typescript/🎯️targets/⚛️react/ð\x9F§ªï¸\x8Findex.test.ts:4223:7)\n' +
    '    at react_stack_bottom_frame (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:25904:19)\n' +
    '    at renderWithHooks (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:7662:21)\n' +
    '    at updateFunctionComponent (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:10166:18)\n' +
    '    at runWithFiberInDEV (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:874:12)\n' +
    '    at performUnitOfWork (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:17641:21)\n' +
    '    at workLoopSync (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:17469:40)\n' +
    '    at renderRootSync (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:17450:10)\n' +
    '    at performWorkOnRoot (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:16583:34)\n' +
    '    at performWorkOnRootViaSchedulerTask (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:18957:6)\n' +
    '    at flushActQueue (/Users/ueli/Documents/semio/node_modules/react/cjs/react.development.js:590:33)\n' +
    '    at /Users/ueli/Documents/semio/node_modules/react/cjs/react.development.js:884:9\n' +
    '    at /Users/ueli/Documents/semio/node_modules/@testing-library/react/dist/act-compat.js:46:24\n' +
    '    at renderRoot (/Users/ueli/Documents/semio/node_modules/@testing-library/react/dist/pure.js:189:17)\n' +
    '    at /Users/ueli/Documents/semio/🧰️framework/🛍️products/💻️os/🔨️modules/📺️renderer/🧑️‍🎨️engine/📦️packages/🟦️typescript/🎯️targets/⚛️react/ð\x9F§ªï¸\x8Findex.test.ts:4225:27\n' +
    '    at /Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:1903:25\n' +
    '    at /Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2326:19\n' +
    '    at Promise (native)\n' +
    '    at runWithCancel (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2323:9)\n' +
    '    at /Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2305:19\n' +
    '    at Promise (native)\n' +
    '    at runWithTimeout (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2272:9)\n' +
    '    at run (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:1150:19)\n' +
    '    at /Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2955:12\n' +
    '    at callAroundHooks (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2663:8)\n' +
    '    at callAroundEachHooks (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2799:7)\n' +
    '    at processTicksAndRejections (native)',
  [line]: 0,
  [column]: 0
}

The above error occurred in the <FaultyChild> component.

React will try to recreate this component tree from scratch using the error boundary you provided, ShellFaultBoundary.

[DEBUG] shell fault test Error: boom
    at FaultyChild (/Users/ueli/Documents/semio/🧰️framework/🛍️products/💻️os/🔨️modules/📺️renderer/🧑️‍🎨️engine/📦️packages/🟦️typescript/🎯️targets/⚛️react/ð§ªï¸index.test.ts:4223:7)
    at react_stack_bottom_frame (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:25904:19)
    at renderWithHooks (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:7662:21)
    at updateFunctionComponent (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:10166:18)
    at runWithFiberInDEV (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:874:12)
    at performUnitOfWork (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:17641:21)
    at workLoopSync (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:17469:40)
    at renderRootSync (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:17450:10)
    at performWorkOnRoot (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:16583:34)
    at performWorkOnRootViaSchedulerTask (/Users/ueli/Documents/semio/node_modules/react-dom/cjs/react-dom-client.development.js:18957:6)
    at flushActQueue (/Users/ueli/Documents/semio/node_modules/react/cjs/react.development.js:590:33)
    at /Users/ueli/Documents/semio/node_modules/react/cjs/react.development.js:884:9
    at /Users/ueli/Documents/semio/node_modules/@testing-library/react/dist/act-compat.js:46:24
    at renderRoot (/Users/ueli/Documents/semio/node_modules/@testing-library/react/dist/pure.js:189:17)
    at /Users/ueli/Documents/semio/🧰️framework/🛍️products/💻️os/🔨️modules/📺️renderer/🧑️‍🎨️engine/📦️packages/🟦️typescript/🎯️targets/⚛️react/ð§ªï¸index.test.ts:4225:27
    at /Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:1903:25
    at /Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2326:19
    at Promise (native)
    at runWithCancel (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2323:9)
    at /Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2305:19
    at Promise (native)
    at runWithTimeout (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2272:9)
    at run (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:1150:19)
    at /Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2955:12
    at callAroundHooks (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2663:8)
    at callAroundEachHooks (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2799:7)
    at processTicksAndRejections (native) 
    at FaultyChild (/Users/ueli/Documents/semio/🧰️framework/🛍️products/💻️os/🔨️modules/📺️renderer/🧑️‍🎨️engine/📦️packages/🟦️typescript/🎯️targets/⚛️react/🧪️index.test.ts:3546:22)
    at ShellFaultBoundary (/Users/ueli/Documents/semio/🧰️framework/🛍️products/💻️os/🔨️modules/📺️renderer/🧑️‍🎨️engine/🧱️elements/Shell/🟦️component.tsx:538:10)

 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > enables overflow scrolling only when spotlight suggestions are expanded 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > attaches a drag-and-drop controller to tree panels whose items carry drag data 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > omits the drag-and-drop controller for tree panels without drag data 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > resolves a fixture widget id to its workflow instance id, independent of selection state 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > parses studio and studio+instance shell paths, and rejects non-studio routes 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > classifies shell routes into landing, space, and notFound 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > shellActorId mints user:{userId}#{sessionId} once identity resolves, else client-{sessionId} 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > canonicalSurfaceId formats <kind>@<standard>/<subset>#<role> 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > directoryCommandFromAction maps all 7 frozen os.directory.* ids, share-link sugaring to create-invite 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > AutoCheckinScheduler (§C5 auto check-in) > 3 edits then idle ⇒ exactly one commitCheckpoint 2ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > AutoCheckinScheduler (§C5 auto check-in) > ≥ 200 uncommitted edits ⇒ checkpoint without waiting for idle 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > AutoCheckinScheduler (§C5 auto check-in) > notify(0) (a landed checkpoint) clears the pending latch for a fresh idle window later 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > AutoCheckinScheduler (§C5 auto check-in) > cancel() stops a pending idle timer (unmount/session-switch) 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > sync status pill (§C5 status pill, ArtifactSyncStatus → persisted|pending(n)|remote(...)) > persisted: a live remote with nothing pending 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > sync status pill (§C5 status pill, ArtifactSyncStatus → persisted|pending(n)|remote(...)) > pending(n): a live remote with unacked mutations 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > sync status pill (§C5 status pill, ArtifactSyncStatus → persisted|pending(n)|remote(...)) > remote(connecting|backoff|detached): a non-live remote takes priority over a pending count 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > sync status pill (§C5 status pill, ArtifactSyncStatus → persisted|pending(n)|remote(...)) > no status observed yet reads as remote(detached) 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > canCheckIn is true only for an editor role — viewer gets no affordance and no auto timer 0ms
 × |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > isolates render faults in ShellFaultBoundary 33ms
   → Invalid Chai property: toHaveTextContent
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > s workflow flow routing > folds spawned focus into viewState so a subsequent host-effect session write keeps activeSpawnedId 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > ui search/find (fuse re-export from @semio-tech/ui-react) > UISearch renders all items and fuzzy-filters them via the shared Fuse re-export 63ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > ui search/find (fuse re-export from @semio-tech/ui-react) > UIFind renders and fuzzy-filters items registered on its context via the shared Fuse re-export 39ms
 × |@semio-tech/framework-renderer-react| 🧪️index.test.ts > window action panel — staging and single dispatch (P1/P2) > stages both args locally, dispatches nothing until Execute, then fires exactly one merged descriptor and keeps staged values 59ms
   → expected  to have a length of 2 but got +0
stderr | 🧪️index.test.ts > host effect dispatch (D2 DispatchAction, D3 RequestFileOpen.multiple, D5 RequestMediaFrames) > runRequestMediaFrames (D5): Tier 2 failure (video element throws mid-seek) ⇒ dispatches fallbackAction exactly once with raw bytes as a data URL, no frame/done calls
[os-shell] requestMediaFrames: decode failed, falling back to raw bytes Error: decode failed
    at set (/Users/ueli/Documents/semio/🧰️framework/🛍️products/💻️os/🔨️modules/📺️renderer/🧑️‍🎨️engine/📦️packages/🟦️typescript/🎯️targets/⚛️react/ð§ªï¸index.test.ts:5330:9)
    at runTier2VideoFrames (/Users/ueli/Documents/semio/🧰️framework/🛍️products/💻️os/🔨️modules/📺️renderer/🧑️‍🎨️engine/🧱️elements/ShellHelpers/ð¦ï¸component.tsx:879:5)
    at runRequestMediaFrames (/Users/ueli/Documents/semio/🧰️framework/🛍️products/💻️os/🔨️modules/📺️renderer/🧑️‍🎨️engine/🧱️elements/ShellHelpers/ð¦ï¸component.tsx:953:13)
    at /Users/ueli/Documents/semio/🧰️framework/🛍️products/💻️os/🔨️modules/📺️renderer/🧑️‍🎨️engine/📦️packages/🟦️typescript/🎯️targets/⚛️react/ð§ªï¸index.test.ts:5333:11
    at /Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:1903:25
    at /Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2326:19
    at Promise (native)
    at runWithCancel (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2323:9)
    at /Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2305:19
    at Promise (native)
    at runWithTimeout (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2272:9)
    at run (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:1150:19)
    at /Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2955:12
    at callAroundHooks (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2663:8)
    at callAroundEachHooks (/Users/ueli/Documents/semio/node_modules/@vitest/runner/dist/chunk-artifact.js:2799:7)
    at processTicksAndRejections (native)

 × |@semio-tech/framework-renderer-react| 🧪️index.test.ts > window action panel — staging and single dispatch (P1/P2) > gates Execute on required args, but a default-satisfied required arg counts without staging 31ms
   → Unable to fire a "change" event - please provide a DOM element.
 × |@semio-tech/framework-renderer-react| 🧪️index.test.ts > window action panel — staging and single dispatch (P1/P2) > Reset restores defaults while keeping the form expanded 25ms
   → null is not an object (evaluating 'input().value')
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > window action panel — staging and single dispatch (P1/P2) > a zero-arg action row fires immediately with no args object 10ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > window action panel — staging and single dispatch (P1/P2) > renders every row disabled when an active utility gates actions 8ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > window action panel — staging and single dispatch (P1/P2) > groups actions into category sections like the command panel 27ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > palette redirect and keybinding rule (P3/P4) > only arg-carrying actions redirect to a staged form (P3 decision) 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > palette redirect and keybinding rule (P3/P4) > keybinding intent: arg-less fires, arg-action opens unless already expanded and valid then executes (P4) 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > registry-derived utilities and activation (P5) > resolveUtilities scopes to the window kind's refs, falling back to all app utilities when unset 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > registry-derived utilities and activation (P5) > derives grouped utility nodes with the active utility pressed and a setActiveUtility onChange tagged by window 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > registry-derived utilities and activation (P5) > deriveUtilityNodes twin marks exactly the active utility pressed 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > registry-derived utilities and activation (P5) > deriveUtilityNodes hoists a single-child group to a top-level toggle 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > registry-derived utilities and activation (P5) > resolveUtilityActivation toggles: click activates, re-click or empty deactivates 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > registry-derived utilities and activation (P5) > findPressedUtilityLeafId walks nested collections 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > registry-derived utilities and activation (P5) > isWorldTransformGumballMode requires an explicit move/rotate/scale/transform mode 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > registry-derived utilities and activation (P5) > worldGumballConfigForProjection intersects transform mode with planar window projections 0ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > registry-derived utilities and activation (P5) > gumballTransformDeltaBetweenPoses emits incremental translate/rotate/scale args 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > registry-derived utilities and activation (P5) > gumballLivePreviewDeltaBetweenPoses applies local start→current deltas for instant mid-drag preview 1ms
 × |@semio-tech/framework-renderer-react| 🧪️index.test.ts > registry-derived utilities and activation (P5) > resolveWindowActions surfaces only panel-eligible definitions owned by the window 2ms
   → expected [ 'extrude', 'undo', …(1) ] to deeply equal [ 'extrude' ]
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > registry-derived utilities and activation (P5) > panelTabDefinitionToNode maps the framework-injected History panel tab through its rendered body 1ms
 ✓ |@semio-tech/framework-renderer-react| 🧪️index.test.ts > resolveCommands / commandCategories (footer command panel registry) > aggregates os + program + app-scope + active-mode's mode-scope commands, excluding other modes' mode-scope commands 0ms
